rank,id,score,views,favors,likes,comments,date,recency_x,translated,tags,title,url,decision,notes
21,131759080,5.531,4800,10,2,0,2023-07-17,0.9,yes,#fpga开发,RK3588+FPGA视频实时处理与双屏显示、存储解决方案,https://blog.csdn.net/yeyuangen/article/details/131759080,,
22,129020736,5.529,3300,31,2,0,2023-02-14,0.8,yes,#目标检测 | #人工智能 | #计算机视觉 | #RK3399 | #YOLO,基于RK3399+YOLO目标检测人工智能图像系统设计,https://blog.csdn.net/yeyuangen/article/details/129020736,,
23,134726568,5.522,7000,8,2,0,2023-12-01,0.9,yes,#人工智能 | #边缘计算,"基于瑞芯微rk3588+寒武纪 | 38TOPS INT8算力的AI边缘计算盒子,智能安防、智慧工地、智慧城管、智慧油站",https://blog.csdn.net/yeyuangen/article/details/134726568,,
24,135372543,5.432,1300,11,8,0,2024-01-03,0.9,yes,#能源,船舶数据采集与分析在线能源监测解决方案,https://blog.csdn.net/yeyuangen/article/details/135372543,,
25,124933458,5.397,3700,24,2,0,2022-05-23,0.8,yes,#fpga开发 | #dsp开发,基于 DSP+FPGA 的排爆机器人控制系统设计与实现,https://blog.csdn.net/yeyuangen/article/details/124933458,,
26,124908639,5.396,2400,30,2,0,2022-05-22,0.8,yes,#机器人 | #SLAM | #激光视觉,ZYNQ 激光视觉SLAM算法移植与设计,https://blog.csdn.net/yeyuangen/article/details/124908639,,
27,136141844,5.366,1200,10,9,0,2024-02-17,0.9,yes,#网络,基于飞腾ARM+FPGA国产化计算模块联合解决方案,https://blog.csdn.net/yeyuangen/article/details/136141844,,
28,133064240,5.363,3000,9,3,0,2024-01-03,0.9,yes,#单片机 | #嵌入式硬件,STM32 EtherCAT 总线型（1 拖 4）步进电机解决方案,https://blog.csdn.net/yeyuangen/article/details/133064240,,
29,135531720,5.354,1300,11,6,0,2024-01-11,0.9,yes,#fpga开发,数据采集卡：USB2.0总线，4通道同步、24位156KHz AD，16路DIO,https://blog.csdn.net/yeyuangen/article/details/135531720,,
30,136345570,5.352,2300,8,6,0,2024-02-28,0.9,yes,#fpga开发 | #飞腾 | #国产化,全国产飞腾E2000Q +复旦微FPGA的轨道交通、电力解决方案,https://blog.csdn.net/yeyuangen/article/details/136345570,,
31,135616054,5.295,1000,10,9,0,2024-01-16,0.9,yes,#数据采集卡 | #NI国产替代,"【NI国产替代】PXIe-4480，1.25 MS/s , 3.4 Hz AC/DC耦合，6输入PXI声音与振动模块",https://blog.csdn.net/yeyuangen/article/details/135616054,,
32,121500572,5.287,6900,15,0,3,2021-11-23,0.8,yes,#OMPAL138 | #FPGA | #防撞雷达,omapl138 fpga三核高速数据采集处理核心平台方案,https://blog.csdn.net/yeyuangen/article/details/121500572,,
33,117905932,5.285,18000,6,1,4,2021-06-14,0.8,yes,#AM335X | #物联网关 | #高性价比,基于AM335X的物联网关解决方案,https://blog.csdn.net/yeyuangen/article/details/117905932,,
34,128084775,5.265,2300,18,3,1,2022-11-28,0.8,yes,#fpga开发 | #单片机 | #嵌入式硬件,基于FPGA+MPU+MCU全自动血细胞分析仪解决方案,https://blog.csdn.net/yeyuangen/article/details/128084775,,
35,135540040,5.258,1100,9,9,0,2024-01-11,0.9,yes,#数据采集 | #温度测量,数据采集卡：4位32路256K同步模拟量输入卡，支持外触发、外时钟，支持多卡同步,https://blog.csdn.net/yeyuangen/article/details/135540040,,
36,135372311,5.242,874,10,9,0,2024-01-03,0.9,yes,#自动化 | #运维 | #数据采集 | #人工智能,船舶数据采集与分析自动化与设备控制系统解决方案,https://blog.csdn.net/yeyuangen/article/details/135372311,,
37,135620905,5.231,951,9,10,0,2024-01-16,0.9,yes,#数据采集卡 | #NI国产替代 | #NI‑9234,【NI国产替代】NI‑9234，4通道，51.2 kS/s/ch，±5 V，C系列声音与振动输入模块,https://blog.csdn.net/yeyuangen/article/details/135620905,,
38,135415541,5.225,1100,9,8,0,2024-01-05,0.9,yes,#arm开发 | #fpga开发,ARM+FPGA多通道信号采集与处理模块开发方案,https://blog.csdn.net/yeyuangen/article/details/135415541,,
39,128929251,5.213,3000,18,3,0,2023-02-08,0.8,yes,#matlab | #RK3399,基于RK3399+PID的手持稳定云台的设计与实现,https://blog.csdn.net/yeyuangen/article/details/128929251,,
40,129029630,5.201,3800,11,8,0,2023-02-14,0.8,yes,#stm32 | #嵌入式硬件 | #单片机,基于RK3399+STM32+PID的四轴飞行器跟踪与控制系统设计,https://blog.csdn.net/yeyuangen/article/details/129029630,,
41,131548213,5.192,1500,14,1,0,2023-07-05,0.9,yes,#fpga开发 | #RK3399+FPGA | #VME,基于 RK3399+fpga 的 VME 总线控制器设计(二）硬件和FPGA逻辑设计,https://blog.csdn.net/yeyuangen/article/details/131548213,,
42,135763955,5.185,821,10,8,0,2024-01-23,0.9,yes,#fpga开发 | #NI国产替代 | #数据采集卡,Intel Atom + Artix-7 100T FPGA，CompactRIO单板控制器,https://blog.csdn.net/yeyuangen/article/details/135763955,,
43,125630024,5.18,3100,19,2,0,2022-07-05,0.8,yes,#人工智能 | #ubuntu | #python,RK3399pro yolov5人工智能加速推理解决方案,https://blog.csdn.net/yeyuangen/article/details/125630024,,
44,136463814,5.161,649,11,8,0,2024-03-04,0.9,yes,#机器人,Intel/国产化无人叉车&机器视觉专用控制器,https://blog.csdn.net/yeyuangen/article/details/136463814,,
45,135625771,5.158,853,9,9,0,2024-01-16,0.9,yes,#NI国产替代 | #数据采集卡 | #NI-9231,【NI国产替代】NI-9231，8通道，51.2 kS/s/ch，-5至5 V，C系列声音和振动输入模块,https://blog.csdn.net/yeyuangen/article/details/135625771,,
46,126114676,5.155,5000,10,3,1,2022-08-02,0.8,yes,#fpga开发,RK3588+FPGA高速图像处理通信处理机解决方案,https://blog.csdn.net/yeyuangen/article/details/126114676,,
47,106390114,5.154,3400,14,4,0,2020-05-28,0.8,yes,#AM5728 | #物流机器人 | #DSP+ARM | #图像识别 | #AGV,基于AM5728 DSP+ARM亚马逊物流机器人的设计和实现，实现自动化分拣投递，AGV,https://blog.csdn.net/yeyuangen/article/details/106390114,,
48,135765860,5.083,944,8,8,0,2024-01-23,0.9,yes,#fpga开发,【进口控制器国产替代】Intel Atom + Artix-7 75T FPGA，CompactRIO单板控制器,https://blog.csdn.net/yeyuangen/article/details/135765860,,
49,135620413,5.082,702,9,9,0,2024-01-16,0.9,yes,#数据采集卡 | #NI国产替代,【NI国产替代】sbRIO‑9234，非封闭式，4通道，51.2 kS/s/ch，±5 V，C系列声音与振动输入模块,https://blog.csdn.net/yeyuangen/article/details/135620413,,
50,135589172,5.05,647,9,9,0,2024-01-14,0.9,yes,#数据采集卡 | #NI国产替代,【NI国产替代】PXIe‑6375，208路AI（16位，3.8 MS/s），2路AO，24路DIO，PXI多功能I/O模块,https://blog.csdn.net/yeyuangen/article/details/135589172,,
51,135589250,5.047,697,9,8,0,2024-01-14,0.9,yes,#fpga开发 | #NI国产替代 | #数据采集,【NI国产替代】USB‑7846 Kintex-7 160T FPGA，500 kS/s多功能可重配置I/O设备,https://blog.csdn.net/yeyuangen/article/details/135589250,,
52,135620311,5.046,791,8,9,0,2024-01-16,0.9,yes,#NI国产替代 | #数据采集卡,【NI国产替代】PXIe‑4499，204.8 kS/s，114 dB，4个增益，交流/直流耦合，16输入PXI声音与振动模块,https://blog.csdn.net/yeyuangen/article/details/135620311,,
53,126738265,5.025,2800,11,6,0,2022-09-07,0.8,yes,#自动驾驶 | #人工智能 | #机器学习,自动驾驶Nvidia Jetson +FPGA设计方案,https://blog.csdn.net/yeyuangen/article/details/126738265,,
54,128324807,5.023,4900,15,0,1,2022-12-21,0.8,yes,#制造 | #半导体运动台,高速高精度半导体运动台设计（一）,https://blog.csdn.net/yeyuangen/article/details/128324807,,
55,130934525,5.014,3200,4,2,2,2023-05-29,0.9,yes,#fpga开发 | #图像处理 | #人工智能 | #复旦微,基于复旦微 JFM7K325T 全国产FPGA的高速数据采集、图像处理方案,https://blog.csdn.net/yeyuangen/article/details/130934525,,
56,131993024,5.009,3200,4,3,1,2023-07-29,0.9,yes,#人工智能 | #RK3588 | #AI,基于RK3588+FPGA+AI算法定制的智慧交通与智能安防解决方案,https://blog.csdn.net/yeyuangen/article/details/131993024,,
57,128923950,4.983,3000,17,1,0,2023-02-07,0.8,yes,#物联网 | #RK3568 | #STM32 | #网关,一种基于RK3568+STM32+AD8684的电力可信物联人工智能网关设计方案,https://blog.csdn.net/yeyuangen/article/details/128923950,,
58,123142103,4.982,2200,20,1,0,2022-02-25,0.8,yes,#fpga开发 | #DSP+FPGA,DSP+FPGA TMS320C665x + Xilinx Artix-7高速数据采集与处理方案,https://blog.csdn.net/yeyuangen/article/details/123142103,,
59,128163360,4.974,4500,10,3,0,2022-12-03,0.8,yes,#全志T3 | #codesys | #实时系统 | #全国产,全志T3 ARM+Ethercat+Codesys工业控制器设计方案,https://blog.csdn.net/yeyuangen/article/details/128163360,,
60,135447184,4.974,662,10,5,0,2024-01-08,0.9,yes,#人工智能 | #fpga开发,NI基于PC的测量和控制系统,https://blog.csdn.net/yeyuangen/article/details/135447184,,
61,127987768,4.937,2400,5,0,0,2024-05-11,1,yes,#上位机 | #半导体设备 | #新能源设备,半导体新能源智能装备控制器及工业软件设计方案,https://blog.csdn.net/yeyuangen/article/details/127987768,,
62,135583754,4.916,616,8,8,0,2024-01-14,0.9,yes,#数据采集卡 | #NI国产替代 | #PXIe-6386,NI PXIe-6386国产替代，8路AI（16位，14 MS/s/ch），2路A​O，24路DIO，PXI多功能I/O模块,https://blog.csdn.net/yeyuangen/article/details/135583754,,
63,135615995,4.902,653,8,7,0,2024-01-16,0.9,yes,#数据采集卡 | #NI国产替代,【NI国产替代】PXIe‑4492，204.8 kS/s，113 dB，2个增益，0.5 Hz 交流/直流耦合，8输入PXI声音与振动模块,https://blog.csdn.net/yeyuangen/article/details/135615995,,
64,127398232,4.896,2000,11,1,4,2022-10-18,0.8,yes,#Ethercat | #实时 | #igh | #高性价比,基于NXP i.MX8 Ethercat实时运动控制器设计 Linux+xenomai+igh+rtnet,https://blog.csdn.net/yeyuangen/article/details/127398232,,
65,118784301,4.858,2900,10,1,2,2021-07-16,0.8,yes,#C6748 | #FPGA | #北斗接收机 | #高精度,基于C6748+FPGA的高精度北斗接收机设计与实现,https://blog.csdn.net/yeyuangen/article/details/118784301,,
66,108395770,4.844,2600,11,3,0,2020-09-04,0.8,yes,#AM5728 | #DSP | #阵列麦克风 | #ARM,基于AM5728 DSP+ARM阵列麦克风解决方案,https://blog.csdn.net/yeyuangen/article/details/108395770,,
67,125776868,4.807,2600,14,1,0,2022-07-14,0.8,yes,#自动驾驶 | #控制器 | #jetson,Nvidia AGX Xavier GMSL 自动驾驶控制器设计方案,https://blog.csdn.net/yeyuangen/article/details/125776868,,
68,135767088,4.807,709,6,9,0,2024-01-23,0.9,yes,#fpga开发 | #NI国产替代,【进口控制器替代】Intel Atom + Kintex-7 70T FPGA，4槽CompactRIO控制器,https://blog.csdn.net/yeyuangen/article/details/135767088,,
69,128461175,4.785,3000,10,1,1,2022-12-27,0.8,yes,#fpga开发,基于FPGA状态机设计实现EtherCAT从站,https://blog.csdn.net/yeyuangen/article/details/128461175,,
70,126698258,4.77,2100,11,3,0,2022-09-05,0.8,yes,#fpga开发 | #arm | #计算机视觉,ARM/DSP+FPGA运动控制机器视觉控制器方案定制,https://blog.csdn.net/yeyuangen/article/details/126698258,,
71,124934547,4.757,3000,12,1,0,2022-05-23,0.8,yes,#ZYNQ | #AD9361 | #无线电,基于ZYNQ+AD9361的软件无线电平台设计与实现 （2）,https://blog.csdn.net/yeyuangen/article/details/124934547,,
72,103429756,4.743,2800,9,3,0,2019-12-06,0.8,yes,#AM5728 | #CPSW | #网口,TI AM5728 CPSW网口调试笔记,https://blog.csdn.net/yeyuangen/article/details/103429756,,
73,106414130,4.704,2600,10,2,0,2020-05-28,0.8,yes,#AM5728 | #DSP | #C66X,TI DSP TMS320C66x （1）硬件介绍,https://blog.csdn.net/yeyuangen/article/details/106414130,,
74,134974961,4.701,1500,7,1,0,2023-12-13,0.9,yes,#数据采集 | #PXI | #CPCI | #VPX,PXI/PCIe/VPX机箱 ARM|x86 + FPGA测试测量板卡解决方案,https://blog.csdn.net/yeyuangen/article/details/134974961,,
75,125670686,4.688,3100,7,2,1,2022-07-08,0.8,yes,#fpga开发 | #C6657 | #ZYNQ7045,基于C6657+ZYNQ7045的DSP+ARM+FPGA主控板设计方案,https://blog.csdn.net/yeyuangen/article/details/125670686,,
76,106422831,4.663,3200,10,1,0,2020-05-29,0.8,yes,#DSP+ARM | #毫米波 | #雷达 | #omapl138 | #fpga,基于OMAPL138 DSP+ARM+FPGA 毫米波雷达与单目视觉融合的无人机自主避障系统,https://blog.csdn.net/yeyuangen/article/details/106422831,,
77,134794429,4.646,2200,4,1,1,2023-12-04,0.9,yes,#单片机 | #机器人 | #嵌入式硬件,RK3588+MCU机器人控制器解决方案,https://blog.csdn.net/yeyuangen/article/details/134794429,,
78,131095790,4.643,2300,5,1,0,2023-06-07,0.9,yes,#网络 | #RK3588 | 九章云极普惠算力 | 加入社区,基于RK3588的人工智能边缘计算大算力网关,https://blog.csdn.net/yeyuangen/article/details/131095790,,
79,126211285,4.635,1900,12,0,2,2022-08-07,0.8,yes,#java | #开发语言,DSP+ARM+FPGA高速PCIE/千兆网口信号仿真介绍,https://blog.csdn.net/yeyuangen/article/details/126211285,,
80,122909295,4.61,2400,9,2,0,2022-02-13,0.8,yes,#fpga开发 | #C665x | #DSP+FPGA,TMS320C665x + Xilinx Artix7 DSP+FPGA高速核心板,https://blog.csdn.net/yeyuangen/article/details/122909295,,
81,122848687,4.568,4600,7,1,0,2022-02-09,0.8,yes,#DSP+FPGA | #ZYNQ | #LTE,Zynq LTE基站设计与实现,https://blog.csdn.net/yeyuangen/article/details/122848687,,
82,132761118,4.567,1800,4,1,1,2023-09-08,0.9,yes,#arm开发,ARM+Codesys runtime核心板+底板解决方案,https://blog.csdn.net/yeyuangen/article/details/132761118,,
83,118280228,4.565,3600,8,1,0,2022-07-12,0.8,yes,#ZYNQ | #Ethercat | #FPGA | #XENOMAI,信迈基于FPGA ZYNQ的Ethercat高实时工业控制解决方案,https://blog.csdn.net/yeyuangen/article/details/118280228,,
84,128924819,4.564,3000,12,0,0,2023-02-07,0.8,yes,#fpga开发 | #RK3399+FPGA | #高速AD,RK3399+PCIe+FPGA 在高速AD无线通信中的应用,https://blog.csdn.net/yeyuangen/article/details/128924819,,
85,132306450,4.561,13000,2,0,0,2023-08-15,0.9,yes,#嵌入式硬件 | #fpga开发,嵌入式电火花线切割控制系统总体设计,https://blog.csdn.net/yeyuangen/article/details/132306450,,
86,130934572,4.49,3900,4,0,0,2023-05-29,0.9,yes,#fpga开发,基于复旦微FMQL45T900 全国产ARM+FPGA核心板方案,https://blog.csdn.net/yeyuangen/article/details/130934572,,
87,134104351,4.489,1200,8,0,0,2023-10-29,0.9,yes,#EMS | #国产储能 | #储能方案,基于RK3588/RK3568/RK3288的全国产储能“大脑”——EMS管理系统,https://blog.csdn.net/yeyuangen/article/details/134104351,,
88,128924318,4.482,4000,9,0,0,2023-02-08,0.8,yes,#fpga开发 | #RK3399+FPGA | #工业相机,一种RK3399+MIPI+FPGA的高速工业相机的设计方案（一）,https://blog.csdn.net/yeyuangen/article/details/128924318,,
89,114106007,4.473,2000,8,2,0,2021-02-25,0.8,yes,#OMPAL138 | #SPARTAN6 | #FPGA | #DSP | #C6748,OMAPL138+SPARTAN6核心板与评估板试用心得,https://blog.csdn.net/yeyuangen/article/details/114106007,,
90,118159455,4.472,2300,12,0,0,2021-06-23,0.8,yes,#C6748 | #DSP | #开发例程 | #tcp | #OMAPL138,OMAPL138 + SPARTAN6 DSP+ARM+FPGA开发例程,https://blog.csdn.net/yeyuangen/article/details/118159455,,
91,124870062,4.459,3100,10,0,0,2022-07-05,0.8,yes,#tensorflow | #人工智能 | #FPGA | #PCIE | #RK3399,瑞芯微RK3399/RK3568+FPGA硬件加速设计方案,https://blog.csdn.net/yeyuangen/article/details/124870062,,
92,129054162,4.443,1700,10,1,0,2023-02-16,0.8,yes,#VPX | #精密运动控制 | #FPGA,基于 VPX 总线的工件台运动控制系统研究与开发-以光刻运动台为例（一）,https://blog.csdn.net/yeyuangen/article/details/129054162,,
93,104546704,4.416,1900,9,1,0,2020-02-27,0.8,yes,#5G | #AM5728 | #网关 | #工业物联网 | #工业4.0,基于AM5728的5G智能网关在工业互联网的应用,https://blog.csdn.net/yeyuangen/article/details/104546704,,
94,117649189,4.356,1600,9,1,0,2021-06-07,0.8,yes,#C6748 | #FPGA | #DSP+FPGA+ARM | #电力,基于C6748 DSP+FPGA的声学多普勒流速剖面仪ADCP信号处理系统,https://blog.csdn.net/yeyuangen/article/details/117649189,,
95,132332739,4.331,1800,5,0,0,2023-08-17,0.9,yes,#硬件架构,基于X86六轮差速移动机器人运动控制器设计与实现（一）软件与硬件架构,https://blog.csdn.net/yeyuangen/article/details/132332739,,
96,128393121,4.324,2100,10,0,0,2022-12-21,0.8,yes,#半导体运动台 | #控制器,高速高精度半导体运动台设计（二）,https://blog.csdn.net/yeyuangen/article/details/128393121,,
97,127394072,4.318,2500,9,0,0,2022-10-18,0.8,yes,#国产EDA | #FPGA,国产EDA与FPGA芯片验证方案,https://blog.csdn.net/yeyuangen/article/details/127394072,,
98,124203022,4.309,3000,8,0,0,2022-04-15,0.8,yes,#ZYNQ | #移动机器人 | #控制器 | #实时,基于ZYNQ移动机器人控制器设计（3）控制器硬件方案选型,https://blog.csdn.net/yeyuangen/article/details/124203022,,
99,117696723,4.29,2700,6,1,0,2022-02-21,0.8,yes,#AM5728 | #LINUX | #开源 | #运动控制 | #DSP+ARM,基于AM5728 linux开源ethercat运动控制一体机解决方案,https://blog.csdn.net/yeyuangen/article/details/117696723,,
100,122832903,4.273,3500,5,1,0,2022-02-08,0.8,yes,#ZYNQ | #ARM+FPGA | #图像处理,基于ZYNQ的数据存储和实时成像系统,https://blog.csdn.net/yeyuangen/article/details/122832903,,
101,131200541,4.267,2200,4,0,0,2023-06-26,0.9,yes,#fpga开发 | #电能质量分析仪 | #ARM+FPGA | #NI,【国产虚拟仪器】基于ARM+FPGA+8通道高速AD代替美国国家仪器的电能质量分析仪设计（一）NI方案介绍,https://blog.csdn.net/yeyuangen/article/details/131200541,,
102,127565140,4.242,1700,6,2,0,2022-10-28,0.8,yes,#C6678 | #ZYNQ,C6678/C6657+ZYNQ/K7/A7 FPGA+AD+北斗的软硬件设计方案,https://blog.csdn.net/yeyuangen/article/details/127565140,,
103,125092152,4.235,3600,5,0,1,2022-06-08,0.8,yes,#RK3568 | #工业网关 | #6路千兆 | #高性价比,基于RK3568低成本6路千兆网口AI工业网关设计方案,https://blog.csdn.net/yeyuangen/article/details/125092152,,
104,127569249,4.234,4000,6,0,0,2022-10-28,0.8,yes,#C6678+K7+AD,C6678+K7+AD9253/AD9783 8路AD高速信号处理板,https://blog.csdn.net/yeyuangen/article/details/127569249,,
105,134103463,4.229,2000,4,0,0,2023-10-29,0.9,yes,#microsoft,基于 ＡＲＭ＋ＦＰＧＡ+AD的高精度数据采集系统设计,https://blog.csdn.net/yeyuangen/article/details/134103463,,
106,134325102,4.166,1700,4,0,0,2023-11-17,0.9,yes,#codesys,RK3568+Codesys+Xenomai实时软PLC运动控制解决方案,https://blog.csdn.net/yeyuangen/article/details/134325102,,
107,127595870,4.156,2500,5,1,0,2022-10-30,0.8,yes,#5G评估板 | #软件无线电,ZYNQ RFSoc开发板-usrp软件无线电X410mini开发板-5G评估板,https://blog.csdn.net/yeyuangen/article/details/127595870,,
108,132444260,4.117,1500,4,0,0,2023-08-23,0.9,yes,#labview | #嵌入式硬件,基于labview设备状态监测和故障诊断（一）NI软硬件介绍,https://blog.csdn.net/yeyuangen/article/details/132444260,,
109,131095009,4.103,1300,3,1,0,2023-06-07,0.9,yes,#网络 | #RK3399+FPGA,基于RK3399+FPGA的地面测试台多参数数据记录仪方案(一）硬件设计,https://blog.csdn.net/yeyuangen/article/details/131095009,,
110,125420701,4.084,4200,2,1,2,2022-06-23,0.8,yes,#RK3568 | #多网口 | #鸿蒙,RK3568多千兆网口安卓视频控制器全国产方案,https://blog.csdn.net/yeyuangen/article/details/125420701,,
111,127126276,4.07,3400,5,0,0,2022-10-10,0.8,yes,,龙芯+复旦微FPGA全国产VPX高速数据采集卡解决方案,https://blog.csdn.net/yeyuangen/article/details/127126276,,
112,134754410,4.055,2000,3,0,0,2023-12-02,0.9,yes,#人工智能 | #边缘计算,"基于算能的国产AI边缘计算盒子,内置强悍TPU | 32TOPS INT8算力",https://blog.csdn.net/yeyuangen/article/details/134754410,,
113,105554507,4.008,1200,6,1,0,2020-04-16,0.8,yes,#AM5728 | #NOR启动,AM335X 、AM5728 NOR flash启动,https://blog.csdn.net/yeyuangen/article/details/105554507,,
114,123171075,3.993,2000,6,0,0,2022-08-29,0.8,yes,#fpga开发 | #arm | #ethercat,基于DSP/ARM+FPGA的类PLC 高性能高实时Ethercat运动控制系统方案,https://blog.csdn.net/yeyuangen/article/details/123171075,,
115,120321742,3.979,1500,5,1,0,2021-09-16,0.8,yes,#OMPAL138 | #FPGA | #防撞雷达,omapl138+FPGA AD7606数据采集测试,https://blog.csdn.net/yeyuangen/article/details/120321742,,
116,131995711,3.975,2900,2,0,0,2023-07-29,0.9,yes,#人工智能 | #RK3588 | #人工智能算法服务,基于RK3588+AI的边缘计算算法方案：智慧园区、智慧社区、智慧物流,https://blog.csdn.net/yeyuangen/article/details/131995711,,
117,127518880,3.947,1300,4,1,1,2022-10-25,0.8,yes,#嵌入式硬件 | #手术机器人,手术机器人软硬件设计方案,https://blog.csdn.net/yeyuangen/article/details/127518880,,
118,133283165,3.942,1500,3,0,0,2023-09-25,0.9,yes,#fpga开发 | #arm开发,基于ARM+FPGA的ISA总线／MMи总线接口转换设计在轨道交通的应用,https://blog.csdn.net/yeyuangen/article/details/133283165,,
119,128399985,3.937,1700,6,0,0,2022-12-21,0.8,yes,#人工智能,硅片检测半导体运动台控制器的设计（二）,https://blog.csdn.net/yeyuangen/article/details/128399985,,
120,126963671,3.934,2000,2,3,1,2022-09-20,0.8,yes,#arm | #fpga开发 | #图像处理,ARM+FPGA医疗图像处理解决方案,https://blog.csdn.net/yeyuangen/article/details/126963671,,
121,130829864,3.901,2400,2,0,0,2023-05-23,0.9,yes,#国产实时操作系统 | #全国产主板,翼辉+飞腾全国产实时操作系统与全国产主板工控方案在电力产品的应用,https://blog.csdn.net/yeyuangen/article/details/130829864,,
122,117535952,3.885,967,6,0,1,2021-06-03,0.8,yes,#C6748 | #FPGA | #DSP+FPGA | #雷达 | #导航,基于C6748 +FPGA 测角测距连续波雷达的目标检测方法及其平台设计,https://blog.csdn.net/yeyuangen/article/details/117535952,,
123,127521138,3.876,2800,4,0,0,2022-10-25,0.8,yes,#fpga开发,国产ARM+FPGA+AD低成本高性能数据采集卡方案,https://blog.csdn.net/yeyuangen/article/details/127521138,,
